,Symbol
0,CICHY
1,CICHF
2,TXN
3,UPS
4,NFLX
5,CMCSA
6,LIN
7,C-PJ
8,CRM
9,VZ
10,MS
11,ADBE
12,TMUS
13,ACN
14,NVSEF
15,NVS
16,WFC
17,WFC-PR
18,NKE
19,DHR
20,ABT
21,MCD
22,CSCO
23,WFC-PL
24,HESAF
25,HESAY
26,TM
27,WFC-PQ
28,WFC-PY
29,AZN
30,TOYOF
31,AZNCF
32,DIS
33,SHEL
34,RYDAF
35,IDCBF
36,IDCBY
37,LRLCY
38,LRLCF
39,COST
40,TMO
41,ORCL
42,PEP
43,BHP
44,BHPLF
45,PROSF
46,PFE
47,RHHVF
48,BAC-PB
49,RHHBY
50,PROSY
51,AVGO
52,BML-PJ
53,ABBV
54,RHHBF
55,KO
56,ASML
57,BAC-PE
58,MRK
59,BML-PL
60,BABA
61,BABAF
62,ASMLF
63,BML-PH
64,BAC-PL
65,BML-PG
66,BAC-PK
67,NVO
68,NONOF
69,LLY
70,PG
71,HD
72,CVX
73,JPM-PD
74,NSRGY
75,NSRGF
76,JPM-PC
77,MA
78,BAC
79,WMT
80,JNJ
81,LVMHF
82,LVMUY
83,UNH
84,TCEHY
85,TCTZF
86,XOM
87,META
88,JPM
89,V
90,TSM
91,NVDA
92,TSLA
93,BRK-B
94,BRK-A
95,AMZN
96,GOOGL
97,GOOG
98,MSFT
99,AAPL
